Day,salesTotal,RunningWeeklyAvg
2024-06-12,978.2600000000008,978.26
2024-06-13,1018.2800000000008,998.27
2024-06-14,1131.800000000001,1042.78
2024-06-15,1536.6400000000006,1166.25
2024-06-16,1083.5600000000009,1149.71
2024-06-17,966.1300000000006,1119.11
2024-06-18,1149.5300000000009,1123.46
2024-06-19,1013.8300000000004,1128.54
2024-06-20,1052.6300000000008,1133.45
2024-06-21,1249.5400000000004,1150.27
2024-06-22,1404.0300000000004,1131.32
2024-06-23,1069.2900000000009,1129.28
2024-06-24,1145.3900000000008,1154.89
2024-06-25,891.7000000000007,1118.06
2024-06-26,1139.1200000000015,1135.96
2024-06-27,1031.6300000000006,1132.96
2024-06-28,1400.4300000000019,1154.51
2024-06-29,1321.8400000000015,1142.77
2024-06-30,1355.4500000000003,1183.65
2024-07-01,1286.2900000000018,1203.78
2024-07-02,1312.2700000000023,1263.86
2024-07-03,1384.5800000000017,1298.93
2024-07-04,1167.0400000000013,1318.27
2024-07-05,1095.1200000000008,1274.66
2024-07-06,1364.2900000000013,1280.72
2024-07-07,1265.7000000000019,1267.9
2024-07-08,941.770000000001,1218.68
2024-07-09,1156.7500000000005,1196.46
2024-07-10,914.1000000000009,1129.25
2024-07-11,1174.1300000000015,1130.27
2024-07-12,1394.7400000000011,1173.07
2024-07-13,1292.140000000002,1162.76
2024-07-14,1176.2800000000013,1149.99
2024-07-15,979.4000000000003,1155.36
2024-07-16,1089.7100000000012,1145.79
2024-07-17,1330.2299999999998,1205.23
2024-07-18,1051.0200000000011,1187.65
2024-07-19,1064.7700000000011,1140.51
2024-07-20,1337.6600000000005,1147.01
2024-07-21,1215.8500000000008,1152.66
2024-07-22,1196.3900000000012,1183.66
2024-07-23,929.9900000000009,1160.84
2024-07-24,972.5800000000011,1109.75
2024-07-25,1081.1600000000008,1114.06
2024-07-26,1077.7000000000007,1115.9
2024-07-27,1287.590000000002,1108.75
2024-07-28,1133.250000000001,1096.95
2024-07-29,946.9200000000004,1061.31
2024-07-30,1120.1600000000008,1088.48
2024-07-31,1073.1400000000012,1102.85
2024-08-01,1102.3800000000006,1105.88
2024-08-02,1048.1000000000006,1101.65
2024-08-03,1386.9400000000014,1115.84
2024-08-04,1268.9500000000023,1135.23
2024-08-05,1079.320000000001,1154.14
2024-08-06,860.93,1117.11
2024-08-07,977.8000000000004,1103.49
2024-08-08,993.7200000000007,1087.97
2024-08-09,1136.380000000001,1100.58
2024-08-10,1198.7800000000018,1073.7
2024-08-11,1345.7300000000012,1084.67
2024-08-12,1274.3900000000015,1112.53
2024-08-13,1079.510000000001,1143.76
2024-08-14,918.2100000000007,1135.25
2024-08-15,1026.1000000000008,1139.87
2024-08-16,1305.1500000000015,1163.98
2024-08-17,1344.7700000000018,1184.84
2024-08-18,1317.9600000000016,1180.87
2024-08-19,1055.9700000000007,1149.67
2024-08-20,955.6700000000006,1131.98
2024-08-21,789.9700000000001,1113.66
2024-08-22,1115.3700000000006,1126.41
2024-08-23,1137.7700000000007,1102.5
2024-08-24,1244.9800000000014,1088.24
2024-08-25,1235.3900000000017,1076.45
2024-08-26,1066.7000000000012,1077.98
2024-08-27,948.4000000000003,1076.94
2024-08-28,936.0800000000008,1097.81
2024-08-29,1115.890000000001,1097.89
2024-08-30,1213.6200000000008,1108.72
2024-08-31,1330.6900000000014,1120.97
2024-09-01,1300.1500000000012,1130.22
2024-09-02,1023.1800000000011,1124.0
2024-09-03,978.7200000000009,1128.33
2024-09-04,854.5000000000007,1116.68
2024-09-05,921.7500000000005,1088.94
2024-09-06,909.0800000000008,1045.44
2024-09-07,873.6800000000009,980.15
2024-09-08,446.7500000000004,858.24
